order_id,customer_id,order_date,status,total_amount,region
34,4920,2024-10-30 05:45:36,delivered,3917.18,West
35,3734,2024-05-13 18:03:53,returned,8386.75,West
36,2043,2024-03-09 19:05:32,delivered,2633.26,Southeast
37,3930,2024-02-02 10:35:04,delivered,4309.30,South
38,3564,2024-06-03 01:59:18,delivered,2509.66,Mountain
39,22,2024-05-18 17:21:08,delivered,3319.08,West
40,3865,2025-02-21 14:31:49,cancelled,463.13,Northeast
41,1016,2024-09-24 20:08:15,delivered,1195.29,West
42,760,2025-03-18 03:12:17,shipped,1720.97,West
43,2129,2024-07-03 04:13:48,delivered,7572.08,Southwest
44,2637,2025-01-16 04:12:58,delivered,2180.69,West
45,545,2024-09-01 14:37:27,delivered,3049.04,Southwest
46,1568,2024-07-06 15:23:25,delivered,3206.78,Southwest
47,3491,2024-04-17 04:49:57,shipped,4044.91,South
48,442,2025-04-14 13:05:25,delivered,3585.29,South
49,2841,2025-01-30 04:03:16,delivered,5311.68,Northeast
50,4473,2024-08-13 08:53:44,placed,1705.73,Northeast
51,1599,2024-08-18 17:12:40,cancelled,5275.53,West
52,4675,2024-11-12 14:24:36,delivered,2531.92,South
53,146,2025-03-04 13:41:19,delivered,1596.40,Southeast
54,628,2024-03-13 19:02:47,delivered,5046.60,Midwest
55,906,2024-08-09 16:54:04,shipped,3638.26,South
56,4357,2024-03-01 20:40:54,delivered,2982.65,Southwest
57,3453,2024-04-16 04:21:04,delivered,5727.21,West
58,1965,2025-01-05 12:14:21,delivered,327.87,West
59,1306,2024-12-17 04:37:53,shipped,1713.88,South
60,553,2024-04-11 19:50:46,delivered,5398.15,Northeast
61,359,2024-09-11 12:29:22,delivered,3827.74,Southwest
62,2991,2025-04-08 23:34:03,delivered,4249.00,West
63,120,2024-10-03 00:04:22,shipped,1980.67,West
64,4606,2025-03-14 03:20:04,shipped,1436.31,South
65,388,2025-03-16 15:07:01,placed,6674.10,Midwest
66,2252,2024-07-30 12:02:02,shipped,568.70,Mountain
67,3461,2025-02-21 22:41:01,placed,6654.67,Southwest
68,2757,2024-12-28 23:50:11,delivered,2282.28,Southwest
69,2284,2024-08-27 20:22:23,cancelled,2228.30,Mountain
70,907,2024-04-10 02:31:46,delivered,2090.07,Southeast
71,1742,2024-11-08 19:44:30,delivered,7657.98,South
72,2218,2025-04-04 15:41:35,delivered,2016.39,South
73,3666,2024-11-08 04:28:47,delivered,6270.98,Southeast
74,4501,2024-06-24 10:43:43,cancelled,5769.58,Southwest
75,3436,2024-06-23 17:54:33,cancelled,5825.20,Mountain
76,1192,2024-05-27 14:01:38,delivered,7946.00,West
77,2796,2024-05-22 06:01:41,shipped,3198.94,Mountain
78,3899,2025-01-08 00:55:22,delivered,2288.32,Southeast
79,2509,2024-03-12 18:44:11,delivered,4707.54,West
80,2514,2024-08-30 16:28:04,delivered,2758.86,Southeast
81,279,2025-03-08 10:30:37,shipped,2220.42,Southwest
82,3952,2024-12-06 21:09:07,delivered,1464.24,Southwest
83,1370,2025-04-19 09:10:34,shipped,9544.24,South
84,1413,2024-10-10 21:09:38,cancelled,4963.71,Southwest
85,2600,2025-02-24 23:56:46,shipped,5424.43,West
86,2838,2024-05-08 15:56:42,delivered,2021.16,West
87,2179,2025-02-27 05:02:00,shipped,1446.26,South
88,832,2024-08-02 15:21:21,placed,172.16,Southwest
89,1303,2024-09-10 23:20:12,delivered,2579.24,Southwest
90,345,2024-01-14 19:44:48,cancelled,1549.60,Northeast
91,1226,2025-01-10 07:40:38,cancelled,3733.36,South
92,4416,2024-01-17 18:50:20,placed,2525.44,Southwest
93,3700,2024-01-20 03:36:48,returned,5294.00,Midwest
94,129,2024-09-02 23:46:14,delivered,9919.47,Southwest
95,377,2024-06-11 12:37:10,placed,759.07,Northeast
96,3088,2024-01-03 16:45:09,delivered,5753.86,Southwest
97,3590,2024-04-04 11:01:57,delivered,275.00,West
98,4457,2024-11-19 19:24:27,placed,2472.16,Northeast
99,683,2024-11-24 07:45:18,delivered,2957.07,Southeast
100,4382,2025-03-22 21:19:26,shipped,497.41,South
101,4721,2024-10-22 11:25:06,delivered,2013.69,Southwest
102,1581,2024-09-08 18:03:17,delivered,6114.78,West
103,998,2025-02-23 22:09:04,delivered,3360.30,West
104,992,2024-01-05 21:25:51,delivered,2654.23,Southwest
105,2615,2024-02-08 09:58:31,shipped,2560.23,Southwest
106,4522,2025-03-20 05:05:59,delivered,2965.36,South
107,2287,2025-02-25 09:10:52,returned,9109.85,West
108,4978,2024-03-20 05:39:12,delivered,7016.96,Southeast
109,4379,2024-03-24 14:54:15,shipped,2729.23,Southeast
110,349,2024-11-15 07:36:22,placed,1210.90,West
111,3975,2025-01-28 01:01:09,delivered,5743.65,Southwest
112,1898,2024-07-08 16:16:24,delivered,1571.47,South
113,4177,2024-02-09 08:09:05,cancelled,3712.15,Southwest
114,3235,2024-02-23 20:53:13,delivered,5071.79,South
115,2593,2024-12-26 06:02:29,shipped,3765.99,Southwest
116,4463,2024-04-01 06:54:41,delivered,3777.02,West
117,3087,2024-06-10 10:52:02,delivered,2092.89,West
118,4639,2024-08-14 18:38:51,delivered,2562.70,West
119,1270,2024-05-14 23:12:02,shipped,3505.50,West
120,1879,2024-02-25 05:35:17,delivered,209.96,Southwest
121,2437,2024-05-18 18:39:05,shipped,5293.53,Southwest
122,3780,2024-10-01 15:54:42,returned,4832.37,Midwest
123,1253,2024-09-02 20:50:55,returned,725.89,Southwest
124,4220,2024-09-10 10:13:37,delivered,2659.20,Mountain
125,4477,2024-05-10 20:10:00,delivered,2885.60,West
126,4824,2024-02-24 02:19:28,delivered,2587.02,West
127,136,2024-09-07 08:11:55,cancelled,4016.84,West
128,1634,2024-09-27 08:33:14,delivered,1571.34,Southeast
129,2082,2024-10-15 18:48:52,shipped,1103.46,Southeast
130,2297,2024-03-31 14:53:35,delivered,3210.58,Northeast
131,3058,2024-02-23 01:03:41,shipped,613.98,Southeast
132,3401,2024-06-18 21:24:24,delivered,5826.58,Northeast
133,2516,2024-08-17 13:14:03,shipped,2069.37,Midwest
134,2494,2024-01-21 19:15:16,returned,1906.00,South
135,1971,2024-03-28 19:41:29,shipped,2489.50,South
136,1015,2024-03-14 09:17:36,delivered,1554.78,Southwest
137,1209,2025-03-15 05:23:57,delivered,2485.11,Northeast
138,1303,2024-08-15 11:38:23,placed,1966.57,Southwest
139,3380,2025-01-09 22:10:51,delivered,208.16,Midwest
140,1792,2024-10-07 21:12:52,delivered,267.48,Southwest
141,497,2024-04-19 03:21:09,delivered,2363.10,Southwest
142,2214,2024-06-05 09:29:10,delivered,2973.55,West
143,2081,2024-07-10 16:30:30,delivered,3550.64,Southwest
144,4816,2024-12-04 13:43:28,delivered,1458.60,Southwest
145,1886,2024-09-05 17:10:19,delivered,5866.27,South
146,3414,2024-12-24 16:21:40,shipped,2197.55,West
147,8,2024-10-16 20:15:38,delivered,3435.22,West
148,38,2024-04-03 08:19:54,delivered,4521.21,West
149,3128,2024-09-15 03:15:41,delivered,6060.84,West
150,4202,2024-12-15 05:26:25,shipped,2197.62,South
151,3077,2024-12-15 13:26:22,returned,8707.00,Southwest
152,3337,2024-04-18 01:20:21,delivered,452.22,Northeast
153,2832,2025-03-03 10:17:34,shipped,806.03,Southwest
154,4690,2024-10-05 08:19:05,cancelled,747.35,Southeast
155,1410,2025-02-03 08:48:16,delivered,414.48,Southeast
156,3586,2024-09-30 21:14:24,returned,1186.50,Southeast
157,2169,2025-03-18 03:45:25,cancelled,5270.17,Northeast
158,1823,2025-03-27 17:54:47,delivered,2700.28,West
159,606,2024-05-07 20:04:32,delivered,5863.45,South
160,1681,2024-11-30 19:14:31,delivered,3776.51,Southwest
161,2638,2024-02-09 22:48:05,delivered,5968.52,South
162,3423,2024-08-11 10:11:25,delivered,523.27,West
163,4099,2024-06-25 19:33:51,shipped,3425.08,South
164,2844,2024-07-19 10:59:47,shipped,1183.62,Mountain
165,962,2024-10-14 03:52:13,delivered,3091.29,Southeast
166,4468,2024-10-14 08:38:18,delivered,1924.13,Midwest
167,4393,2024-09-23 09:09:14,delivered,2073.89,Northeast
168,2785,2025-04-09 18:24:53,shipped,1754.03,Southwest
169,2683,2024-02-25 12:06:08,shipped,2845.84,Southeast
170,1532,2024-01-09 13:41:47,shipped,5035.76,Mountain
171,3406,2024-09-06 02:29:12,shipped,3523.47,South
172,2406,2024-02-01 17:16:49,delivered,1255.14,West
173,3254,2025-03-09 01:22:05,placed,417.54,West
174,1489,2024-05-14 16:48:29,shipped,6420.53,Southwest
175,3853,2024-05-30 11:16:40,shipped,5336.30,West
176,4312,2025-01-29 20:42:26,delivered,1913.16,West
177,4483,2024-08-15 15:16:18,shipped,527.22,South
178,4999,2024-10-30 11:51:29,delivered,7579.86,Southwest
179,4957,2025-02-02 13:19:00,delivered,7877.00,West
180,1104,2024-03-15 20:55:16,cancelled,665.08,Southwest
181,3833,2024-06-22 06:06:22,delivered,8673.83,Northeast
182,3033,2024-03-27 09:47:07,delivered,5581.10,Northeast
183,2864,2024-11-20 15:11:21,delivered,5024.35,Southwest
184,2689,2024-10-27 17:51:11,delivered,6372.89,Southwest
185,2942,2025-02-22 17:32:58,shipped,6781.81,South
186,1752,2024-06-05 17:15:43,delivered,5831.50,West
187,2047,2024-09-16 09:56:48,shipped,7381.67,West
188,589,2024-10-26 23:17:17,delivered,6337.08,West
189,1233,2024-10-31 22:51:29,delivered,788.13,Southwest
190,2988,2025-01-19 01:49:12,delivered,3069.62,Mountain
191,4569,2024-01-09 09:40:15,delivered,9409.41,Northeast
192,4559,2024-03-01 00:20:19,cancelled,3234.81,West
193,126,2024-09-14 01:02:46,delivered,2940.35,South
194,3379,2024-05-17 07:35:34,delivered,2758.25,South
195,2525,2024-12-15 17:40:07,placed,3275.66,West
196,3754,2024-12-24 19:00:36,delivered,1029.51,South
197,2910,2024-10-09 21:10:44,delivered,235.60,South
198,2625,2024-01-28 13:34:07,shipped,2208.82,Southwest
199,4283,2024-02-23 05:30:10,cancelled,2336.25,Southeast
200,4520,2024-10-29 05:42:32,delivered,3141.90,West
201,1398,2024-10-22 21:09:06,delivered,7934.48,West
202,4951,2024-05-13 17:45:57,delivered,4027.72,Southwest
203,1683,2025-01-14 13:52:14,cancelled,3605.11,South
204,1703,2024-04-10 07:57:00,delivered,2041.00,Southwest
205,3672,2024-05-22 17:22:34,returned,4160.48,West
206,933,2025-03-07 17:24:11,delivered,1946.16,Southwest
207,1738,2024-06-23 18:38:16,delivered,5896.34,South
208,1297,2024-08-22 16:46:00,delivered,5754.54,Southwest
209,1666,2024-10-29 00:48:34,placed,5892.39,Southeast
210,2217,2024-02-07 22:41:59,delivered,6721.08,Northeast
211,4590,2024-02-04 19:36:39,shipped,220.83,South
212,3523,2024-10-25 19:41:20,shipped,12509.00,South
213,1141,2024-12-16 19:31:53,placed,231.38,Southwest
214,4533,2024-01-11 22:10:17,cancelled,5398.07,Southwest
215,2941,2024-07-22 06:53:38,shipped,2014.39,West
216,3615,2024-03-26 00:29:16,delivered,2905.32,West
217,2493,2024-09-08 17:28:41,cancelled,5847.50,West
218,2510,2025-01-11 01:49:11,cancelled,4077.53,South
219,4635,2024-03-17 23:53:34,delivered,3379.95,Southeast
220,478,2024-12-09 15:53:39,delivered,2950.96,South
221,3232,2025-01-19 12:25:04,cancelled,4135.57,Southwest
222,302,2024-08-09 06:29:24,shipped,1799.84,South
223,1304,2024-06-17 19:10:20,shipped,5027.84,West
224,2812,2025-02-01 14:15:34,delivered,4674.50,Mountain
225,3020,2024-12-17 23:32:09,delivered,5268.15,Mountain
226,3712,2024-01-20 21:32:25,shipped,767.28,Southwest
227,3109,2024-07-28 00:58:06,delivered,2142.04,Southwest
228,856,2024-11-09 00:39:57,delivered,5961.35,West
229,4789,2024-09-19 05:05:32,shipped,3191.16,Southwest
230,1990,2025-03-03 02:43:08,delivered,7385.20,West
231,4538,2024-08-08 02:30:07,placed,8201.89,South
232,1231,2024-09-21 14:01:23,shipped,4763.22,West
233,222,2024-02-01 06:19:11,shipped,2584.39,South
234,3310,2024-11-24 12:01:07,delivered,3767.67,South
235,919,2024-02-03 19:30:15,delivered,482.55,Southwest
236,2969,2024-04-27 22:44:36,placed,4857.98,Northeast
237,3519,2024-10-28 10:23:03,shipped,8436.97,West
238,1693,2024-07-20 06:12:07,placed,3134.06,West
239,162,2024-10-27 16:55:20,shipped,3555.47,Southeast
240,1331,2024-04-25 12:04:30,cancelled,4211.20,South
241,2189,2024-05-25 23:22:19,shipped,3275.52,West
242,2818,2024-10-28 15:28:10,delivered,7295.04,Southeast
243,598,2024-03-13 03:01:41,shipped,778.39,West
244,1250,2024-06-26 16:39:39,delivered,1288.68,Southeast
245,3000,2025-02-15 06:45:15,returned,7528.09,West
246,795,2024-10-08 06:31:41,placed,8339.96,Southeast
247,2002,2024-11-13 01:15:09,delivered,4466.95,Southeast
248,1408,2024-02-13 05:56:37,placed,1155.72,Southwest
249,440,2024-03-19 01:36:31,shipped,25.35,West
250,2026,2025-02-02 13:02:05,delivered,3700.15,South
251,1228,2024-02-06 11:33:34,delivered,2390.37,Mountain
252,2364,2024-12-04 00:06:01,delivered,2858.34,Mountain
253,1785,2024-05-14 09:42:35,shipped,4581.64,Northeast
254,847,2024-12-20 22:23:15,delivered,759.75,West
255,1489,2025-02-13 01:20:56,placed,5359.75,Southwest
256,3010,2024-05-26 04:42:22,delivered,3124.34,Southeast
257,4220,2024-10-03 17:24:25,delivered,75.10,Mountain
258,960,2025-03-31 05:59:27,placed,2371.18,Southwest
259,3997,2024-08-06 18:13:18,shipped,2128.24,West
260,2520,2024-12-08 15:48:15,shipped,1562.76,West
261,4618,2024-07-27 19:39:56,delivered,3446.22,South
262,769,2024-11-13 02:25:54,delivered,556.97,Southwest
263,2210,2025-04-09 06:25:11,placed,3967.05,Southeast
264,4482,2024-02-02 12:44:07,delivered,2660.93,Southeast
265,4013,2024-06-03 19:59:20,delivered,2003.00,West
266,4934,2024-10-16 01:03:13,shipped,2129.82,West
267,2127,2024-12-21 15:25:30,shipped,3564.68,West
268,3717,2024-08-05 03:46:51,delivered,1850.34,Southwest
269,1805,2024-06-11 19:33:38,delivered,3221.30,West
270,2383,2024-07-14 09:28:59,delivered,3206.34,West
271,4497,2024-09-18 00:31:30,delivered,2472.07,Southwest
272,2723,2024-10-14 06:58:43,shipped,6178.89,South
273,1416,2024-01-29 13:48:59,delivered,3521.24,West
274,4216,2025-01-10 20:10:36,delivered,3149.82,West
275,4005,2024-03-04 08:49:37,shipped,2965.30,Southwest
276,70,2024-10-22 07:21:01,delivered,3698.18,West
277,4909,2024-07-09 17:24:25,delivered,4776.02,West
278,3214,2024-11-28 06:46:02,shipped,342.48,South
279,785,2024-07-15 19:55:08,shipped,7568.38,Southwest
280,3979,2024-10-31 10:44:30,shipped,864.98,Southeast
281,1160,2025-03-06 00:20:53,cancelled,746.72,West
282,3666,2025-02-18 04:45:10,shipped,4089.19,Southeast
283,4014,2025-01-16 23:48:31,placed,242.72,South
284,1016,2024-09-27 14:52:19,delivered,2880.84,West
285,1907,2024-05-08 13:49:23,delivered,8404.65,South
286,1143,2024-09-24 14:11:07,placed,6901.04,Southwest
287,1993,2024-12-06 07:16:32,placed,4387.82,Northeast
288,1348,2025-03-28 22:16:09,shipped,4231.64,Midwest
289,1085,2024-01-30 00:20:05,returned,2123.56,West
290,4435,2024-01-07 12:52:54,delivered,4910.97,South
291,3079,2025-03-25 07:11:11,delivered,2479.29,Southwest
292,3185,2025-02-06 07:26:10,delivered,2194.59,Southwest
293,1645,2024-03-23 15:29:43,delivered,5212.60,West
294,351,2024-10-02 15:47:26,delivered,790.62,West
295,1718,2025-03-26 09:11:01,delivered,7547.12,West
296,3289,2024-10-24 05:13:14,delivered,2593.84,Northeast
297,3340,2024-09-09 14:19:51,delivered,4191.58,Mountain
298,665,2024-01-30 01:36:05,delivered,4982.40,Northeast
299,2477,2024-03-25 12:22:32,delivered,2300.57,West
300,2008,2024-04-10 22:13:49,shipped,6073.81,West
301,973,2024-11-12 17:51:54,delivered,4012.77,West
302,2110,2024-09-17 19:22:15,delivered,3772.79,South
303,4143,2025-02-10 07:26:41,delivered,3134.69,West
304,3468,2024-07-27 02:22:05,shipped,6319.49,Mountain
305,3619,2024-05-27 14:29:50,shipped,2079.20,South
306,3243,2024-12-31 04:09:36,delivered,3035.88,Southeast
307,2151,2024-10-26 16:58:37,cancelled,1826.09,Southwest
308,4534,2025-03-02 02:52:04,delivered,385.59,West
309,2553,2024-11-13 06:59:04,delivered,846.52,Northeast
310,482,2024-08-12 12:38:55,delivered,2246.31,Southeast
311,1074,2024-04-13 05:43:45,delivered,2963.40,Southeast
312,2384,2024-05-27 20:35:56,delivered,3414.93,Southwest
313,2128,2024-08-08 10:56:14,delivered,6563.36,Southwest
314,696,2024-03-12 07:22:01,delivered,1006.18,West
315,3151,2024-12-08 14:20:33,shipped,490.82,West
316,305,2024-05-04 00:42:25,shipped,5088.81,Southwest
317,308,2025-02-26 01:41:07,cancelled,6101.27,Midwest
318,22,2025-01-19 19:05:37,shipped,587.63,West
319,423,2024-09-10 14:14:41,shipped,4159.89,Southwest
320,21,2024-11-24 02:43:26,delivered,1881.97,Southwest
321,2518,2024-09-26 03:13:10,delivered,4567.64,West
322,3316,2024-09-14 07:28:36,delivered,1623.67,Midwest
323,4157,2024-05-30 12:58:31,delivered,2950.16,West
324,1062,2024-02-02 07:58:48,delivered,3784.36,West
325,2122,2024-05-16 08:33:29,placed,126.63,South
326,4709,2024-04-26 11:03:32,delivered,1017.78,Southwest
327,4625,2024-11-29 02:04:36,cancelled,2070.94,Southwest
328,1443,2024-01-15 09:32:59,delivered,3180.64,South
329,1054,2024-01-25 00:33:09,delivered,8222.52,South
330,76,2025-01-20 19:43:53,shipped,2050.08,Mountain
331,2624,2024-01-23 14:39:08,delivered,5497.71,Southwest
332,1607,2024-11-22 03:20:05,shipped,1287.68,Southwest
333,1206,2024-08-30 01:16:51,delivered,8579.18,West
334,4454,2024-08-18 18:39:57,delivered,7474.54,West
335,4440,2024-06-02 22:41:26,delivered,2608.16,West
336,1630,2024-04-12 02:14:25,placed,1529.71,South
337,4600,2024-08-03 23:05:36,shipped,399.37,West
338,3063,2024-02-04 16:29:21,returned,2985.57,Southwest
339,2785,2024-05-20 15:42:00,cancelled,5708.74,Southwest
340,4087,2024-06-28 22:12:41,delivered,6076.36,Southwest
341,3491,2024-12-02 19:29:14,shipped,1613.12,South
342,2464,2024-06-29 13:47:14,placed,3011.32,Southwest
343,1049,2024-04-07 11:26:27,delivered,3457.27,Northeast
344,4246,2025-03-02 12:59:55,placed,5809.92,West
345,4036,2025-04-05 18:23:06,delivered,1790.86,Midwest
346,4947,2024-02-29 21:44:33,delivered,1704.90,South
347,784,2025-03-29 01:10:04,placed,1277.51,Southwest
348,2192,2024-09-22 08:46:56,shipped,5351.96,Southwest
349,1482,2024-06-30 08:30:37,delivered,2451.79,South
350,3648,2024-09-30 10:38:23,delivered,822.58,Southwest
351,3853,2025-03-18 19:52:56,delivered,4325.49,West
352,3651,2024-04-30 18:25:07,delivered,877.57,South
353,1136,2024-03-12 02:22:42,returned,5655.96,Southwest
354,4486,2024-10-12 13:40:32,delivered,4850.53,West
355,463,2024-10-24 04:46:29,delivered,2096.61,West
356,1895,2024-02-11 06:23:51,placed,770.56,Southwest
357,3306,2024-06-19 08:15:02,delivered,377.55,South
358,1714,2024-07-02 23:35:16,cancelled,782.47,Southeast
359,2204,2024-07-22 05:30:36,delivered,1265.04,Mountain
360,3381,2024-10-01 08:39:45,delivered,1722.33,Southwest
361,1368,2024-01-12 09:58:01,delivered,5386.42,West
362,1988,2024-05-11 10:28:40,shipped,2344.29,Midwest
363,3770,2024-03-04 16:11:58,delivered,997.38,South
364,3012,2025-04-14 06:38:34,delivered,638.04,Midwest
365,3714,2024-06-07 15:16:36,placed,1560.36,Southeast
366,4458,2024-03-22 10:57:12,cancelled,3819.43,South
367,58,2024-12-01 10:02:44,placed,5063.89,South
368,2609,2024-06-18 05:17:56,shipped,1495.48,Southwest
369,1986,2024-12-21 07:11:56,delivered,581.00,Southeast
370,3572,2024-05-18 02:18:19,shipped,1064.66,Midwest
371,3382,2025-03-19 17:51:07,returned,6266.97,West
372,2622,2024-04-15 04:50:25,delivered,4142.64,South
373,4791,2025-02-15 23:08:33,shipped,2567.07,Southwest
374,669,2024-06-16 06:37:21,delivered,3921.13,West
375,3654,2025-01-15 15:08:39,delivered,2938.59,West
376,3719,2024-06-20 09:22:06,cancelled,2598.58,Southwest
377,3325,2024-04-29 03:38:58,delivered,1311.06,West
378,4329,2024-02-19 21:38:50,delivered,2700.93,Northeast
379,4568,2024-01-25 16:31:24,delivered,632.22,West
380,4194,2024-11-29 09:33:16,delivered,175.59,Southeast
381,1686,2025-03-12 22:27:41,shipped,971.76,West
382,1908,2024-01-06 02:00:30,delivered,2927.93,Midwest
383,1059,2025-01-15 21:27:41,delivered,4673.20,South
384,3155,2024-02-20 22:19:17,delivered,1681.67,South
385,1270,2025-03-22 15:52:42,delivered,3632.52,West
386,765,2024-08-02 17:52:29,delivered,8124.44,West
387,994,2025-02-03 23:02:05,shipped,1248.56,Southeast
388,1731,2024-12-28 22:16:25,placed,5821.67,South
389,2550,2025-01-23 02:01:54,placed,1526.74,West
390,4992,2025-04-20 09:23:50,shipped,751.80,Southwest
391,1749,2025-04-09 10:17:52,delivered,7038.38,Southwest
392,2676,2024-12-17 01:24:03,delivered,2739.38,Midwest
393,371,2024-07-20 23:57:27,delivered,3268.34,South
394,4852,2024-08-14 14:08:21,delivered,1393.76,Midwest
395,3308,2025-04-01 21:37:02,shipped,5018.65,Mountain
396,2352,2024-07-16 08:11:17,delivered,491.23,Southwest
397,1236,2024-05-08 21:47:40,shipped,1130.73,Midwest
398,2545,2024-10-14 00:44:34,returned,2386.85,Southwest
399,2872,2024-05-21 08:48:57,delivered,1389.62,West
400,4542,2024-02-29 09:10:51,cancelled,763.22,South
401,4252,2025-02-20 06:27:28,delivered,3408.03,Mountain
402,2415,2024-04-11 16:18:46,shipped,714.40,West
403,2064,2024-04-19 04:08:42,delivered,5288.88,Southwest
404,944,2025-02-16 23:56:28,delivered,1529.83,Southwest
405,104,2024-08-02 15:08:40,delivered,2257.32,West
406,745,2025-01-26 01:13:19,shipped,4689.21,Northeast
407,507,2024-12-23 12:10:49,delivered,2539.91,Southeast
408,5,2024-01-27 16:03:25,shipped,3918.67,Southwest
409,3008,2024-07-19 02:28:03,delivered,157.86,Southwest
410,3315,2024-05-20 02:25:54,delivered,3139.17,South
411,1860,2024-08-27 09:34:06,placed,1238.43,Midwest
412,3852,2024-11-06 20:45:21,shipped,4256.39,Mountain
413,3900,2024-11-20 19:52:28,delivered,2562.16,Mountain
414,4034,2024-05-10 05:28:49,shipped,4673.35,Southeast
415,1793,2024-05-05 16:27:52,placed,3439.69,Southwest
416,2130,2024-08-06 05:45:55,cancelled,2519.49,Southeast
417,3136,2025-01-15 09:03:51,delivered,2568.99,Southwest
418,3309,2024-11-06 20:33:37,delivered,7302.20,West
419,2130,2024-05-05 04:51:01,delivered,3820.29,Southeast
420,1061,2024-06-26 11:10:46,shipped,1206.24,Southwest
421,1622,2025-02-17 19:20:00,shipped,1109.46,West
422,3453,2024-01-02 22:34:57,delivered,5504.18,West
423,718,2024-12-19 06:15:20,cancelled,4175.42,South
424,1388,2024-06-20 09:54:14,shipped,1830.96,Mountain
425,1645,2025-02-22 19:08:50,delivered,4304.37,West
426,783,2024-05-17 11:09:20,shipped,3764.30,West
427,1951,2024-07-30 15:56:51,delivered,6738.85,West
428,446,2024-05-09 21:57:21,delivered,491.45,South
429,4413,2024-03-26 11:37:17,delivered,2355.76,West
430,2203,2025-01-04 09:40:05,delivered,2570.16,Southeast
431,3920,2024-06-02 20:20:34,placed,1476.30,Southwest
432,262,2025-01-27 12:33:58,delivered,3897.66,West
433,1132,2025-02-07 15:05:36,delivered,1793.84,Mountain
434,1072,2024-04-30 05:19:40,placed,2831.22,Southwest
435,1546,2025-03-10 20:49:33,delivered,4815.95,South
436,3597,2024-01-28 20:00:18,delivered,6187.43,West
437,4616,2024-12-14 10:58:36,delivered,1465.89,West
438,3595,2024-01-12 15:46:14,shipped,7318.29,Southeast
439,3387,2024-07-04 16:26:26,delivered,4855.74,Southeast
440,2712,2025-02-26 04:07:34,cancelled,2494.16,West
441,611,2024-05-24 23:32:32,shipped,2367.68,South
442,797,2024-04-19 12:57:32,cancelled,4361.43,West
443,4403,2024-05-24 20:49:48,delivered,6475.90,South
444,4967,2024-03-13 08:48:49,placed,1747.42,Southwest
445,974,2024-09-25 06:52:59,delivered,331.11,South
446,252,2024-08-30 17:37:16,delivered,4635.43,Mountain
447,614,2024-10-19 21:57:06,delivered,3597.16,West
448,3657,2025-01-01 13:09:12,delivered,8873.89,Northeast
449,2016,2024-12-21 02:21:52,delivered,2277.13,Southwest
450,4512,2025-02-20 06:42:01,cancelled,2774.28,Southwest
451,3120,2024-12-30 14:37:30,cancelled,857.46,Southwest
452,3771,2024-04-10 08:50:06,shipped,1550.82,Southeast
453,4510,2024-03-13 13:39:25,shipped,6978.08,South
454,4905,2024-10-29 09:43:45,shipped,1723.82,Northeast
455,2447,2024-03-31 04:08:27,delivered,231.16,West
456,4242,2024-10-11 04:01:28,placed,2393.54,Southeast
457,2259,2025-01-05 01:46:59,delivered,2149.48,South
458,1956,2024-02-18 04:05:09,delivered,4737.90,Midwest
459,3872,2024-01-14 05:26:08,delivered,6154.49,Southwest
460,4000,2025-04-14 14:57:52,delivered,2981.36,Southwest
461,63,2024-06-14 07:51:01,placed,3007.40,West
462,2519,2024-04-28 15:49:15,delivered,3148.02,Southwest
